xflr5 v6.11

 Calculated polar for: MILEY M06-13-128

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -6.000,-0.2309, 0.07413, 0.07085,-0.0327,0.5828,0.0148,-1.9235, 0.0000, 0.0977
 -5.750,-0.2171, 0.07073, 0.06743,-0.0359,0.5828,0.0152,-1.9040, 0.0000, 0.0736
 -5.500,-0.2018, 0.06734, 0.06400,-0.0389,0.5828,0.0156,-1.8852, 0.0000, 0.0453
 -5.250,-0.1850, 0.06399, 0.06058,-0.0418,0.5828,0.0161,-1.8666, 0.0000, 0.0116
 -5.000,-0.1667, 0.06070, 0.05720,-0.0443,0.5828,0.0167,-1.8483, 0.0000,-0.0295
 -4.750,-0.1471, 0.05749, 0.05389,-0.0465,0.5827,0.0173,-1.8296, 0.0000,-0.0814
 -4.500,-0.1264, 0.05441, 0.05069,-0.0483,0.5826,0.0180,-1.8102, 0.0000,-0.1493
 -4.250,-0.1047, 0.05148, 0.04761,-0.0497,0.5824,0.0188,-1.7899, 0.0000,-0.2447
 -4.000,-0.0822, 0.04871, 0.04467,-0.0507,0.5821,0.0197,-1.7685, 0.0000,-0.3916
 -3.750,-0.0592, 0.04615, 0.04192,-0.0512,0.5815,0.0208,-1.7452, 0.0000,-0.6490
 -3.500,-0.0361, 0.04386, 0.03940,-0.0512,0.5800,0.0220,-1.7200, 0.0000,-1.2219
 -3.250,-0.0126, 0.04213, 0.03743,-0.0509,0.5780,0.0236,-1.6887, 0.0000,-3.9267
 -3.000, 0.0179, 0.04432, 0.03945,-0.0504,0.5758,0.0277,-1.5409, 0.0000, 3.1584
 -2.750, 0.0398, 0.04382, 0.03877,-0.0507,0.5740,0.0278,-1.4957, 0.0000, 1.5681
 -2.500, 0.0614, 0.04312, 0.03791,-0.0511,0.5707,0.0279,-1.4527, 0.0000, 1.1087
 -2.250, 0.0799, 0.03560, 0.02988,-0.0500,0.5699,0.0179,-1.7255, 0.0000, 0.8951
 -2.000, 0.1106, 0.03386, 0.02770,-0.0486,0.5689,0.0129,-1.8487, 0.0000, 0.7029
 -1.750, 0.1386, 0.03335, 0.02709,-0.0484,0.5677,0.0122,-1.6778, 0.0000, 0.6094
 -1.500, 0.1650, 0.03132, 0.02479,-0.0480,0.5663,0.0117,-1.6662, 0.0000, 0.5485
 -1.250, 0.1920, 0.02995, 0.02322,-0.0477,0.5648,0.0116,-1.6047, 0.0000, 0.5044
 -1.000, 0.2191, 0.02918, 0.02228,-0.0476,0.5630,0.0118,-1.4835, 0.0000, 0.4721
 -0.750, 0.2459, 0.02838, 0.02140,-0.0475,0.5605,0.0122,-1.3792, 0.0000, 0.4468
 -0.500, 0.2701, 0.02703, 0.01992,-0.0468,0.5575,0.0142,-1.3745, 0.0000, 0.4259
 -0.250, 0.2951, 0.02666, 0.01950,-0.0465,0.5546,0.0189,-1.2614, 0.0000, 0.4096
  0.500, 0.4253, 0.02441, 0.01985,-0.0578,0.5480,1.0000,-0.8761, 0.0000, 0.3858
  0.750, 0.4489, 0.02484, 0.02017,-0.0575,0.5458,1.0000,-0.8945, 0.0000, 0.3775
  1.000, 0.4726, 0.02522, 0.02045,-0.0570,0.5436,1.0000,-0.9135, 0.0000, 0.3697
  1.250, 0.4967, 0.02538, 0.02051,-0.0563,0.5415,1.0000,-0.9349, 0.0000, 0.3619
  1.500, 0.5213, 0.02536, 0.02040,-0.0554,0.5393,1.0000,-0.9601, 0.0000, 0.3543
  1.750, 0.5463, 0.02529, 0.02023,-0.0544,0.5375,1.0000,-0.9859, 0.0000, 0.3472
  2.000, 0.5711, 0.02530, 0.02016,-0.0535,0.5358,1.0000,-1.0124, 0.0000, 0.3410
  2.250, 0.5954, 0.02547, 0.02026,-0.0528,0.5341,1.0000,-1.0417, 0.0000, 0.3356
  2.500, 0.6201, 0.02553, 0.02025,-0.0519,0.5324,1.0000,-1.0741, 0.0000, 0.3303
  2.750, 0.6451, 0.02553, 0.02017,-0.0509,0.5306,1.0000,-1.1074, 0.0000, 0.3252
  3.000, 0.6692, 0.02574, 0.02031,-0.0500,0.5283,1.0000,-1.1399, 0.0000, 0.3206
  3.250, 0.6805, 0.02869, 0.02329,-0.0496,0.5211,1.0000,-1.1552, 0.0000, 0.3184
  3.500, 0.7090, 0.02805, 0.02263,-0.0495,0.5195,1.0000,-1.1913, 0.0000, 0.3150
  3.750, 0.7377, 0.02741, 0.02199,-0.0495,0.5169,1.0000,-1.2278, 0.0000, 0.3120
  4.000, 0.7651, 0.02709, 0.02170,-0.0496,0.5133,1.0000,-1.2626, 0.0000, 0.3094
  4.250, 0.7910, 0.02712, 0.02175,-0.0498,0.5090,1.0000,-1.2954, 0.0000, 0.3071
  4.500, 0.8161, 0.02732, 0.02196,-0.0499,0.5048,1.0000,-1.3274, 0.0000, 0.3050
  4.750, 0.8413, 0.02745, 0.02212,-0.0499,0.5013,1.0000,-1.3603, 0.0000, 0.3027
  5.000, 0.8672, 0.02743, 0.02210,-0.0496,0.4984,1.0000,-1.3947, 0.0000, 0.3003
  5.250, 0.8937, 0.02728, 0.02196,-0.0492,0.4960,1.0000,-1.4304, 0.0000, 0.2978
  5.500, 0.9206, 0.02704, 0.02173,-0.0488,0.4938,1.0000,-1.4670, 0.0000, 0.2954
  5.750, 0.9479, 0.02672, 0.02143,-0.0484,0.4918,1.0000,-1.5064, 0.0000, 0.2931
  6.000, 0.9757, 0.02631, 0.02114,-0.0479,0.4902,1.0000,-1.5494, 0.0000, 0.2908
  6.250, 1.0039, 0.02582, 0.02066,-0.0474,0.4887,1.0000,-1.5933, 0.0000, 0.2885
  6.500, 1.0325, 0.02528, 0.02013,-0.0469,0.4873,1.0000,-1.6380, 0.0000, 0.2864
  6.750, 1.0616, 0.02468, 0.01954,-0.0465,0.4860,1.0000,-1.6836, 0.0000, 0.2844
  7.000, 1.0914, 0.02393, 0.01881,-0.0460,0.4847,1.0000,-1.7306, 0.0000, 0.2824
  7.250, 1.1217, 0.02307, 0.01796,-0.0456,0.4834,1.0000,-1.7787, 0.0000, 0.2805
  7.500, 1.1524, 0.02220, 0.01710,-0.0452,0.4819,1.0000,-1.8275, 0.0000, 0.2787
  7.750, 1.1823, 0.02153, 0.01643,-0.0449,0.4800,1.0000,-1.8751, 0.0000, 0.2770
  8.000, 1.2097, 0.02128, 0.01624,-0.0447,0.4771,1.0000,-1.9191, 0.0000, 0.2756
  8.250, 1.2332, 0.02152, 0.01670,-0.0455,0.4669,1.0000,-2.1420, 0.0000, 0.2750
  8.500, 1.2727, 0.01891, 0.01409,-0.0455,0.4482,1.0000,-2.4939, 0.0000, 0.2734
  8.750, 1.3136, 0.01590, 0.01086,-0.0450,0.4275,1.0000,-2.8764, 0.0000, 0.2714
  9.000, 1.3427, 0.01503, 0.00978,-0.0447,0.4012,1.0000,-3.2026, 0.0000, 0.2700
  9.250, 1.3675, 0.01520, 0.01026,-0.0446,0.3899,1.0000,-3.4563, 0.0000, 0.2689
  9.500, 1.3840, 0.01608, 0.01084,-0.0440,0.3461,1.0000,-3.7253, 0.0000, 0.2677
  9.750, 1.3915, 0.01811, 0.01262,-0.0437,0.3014,1.0000,-3.9580, 0.0000, 0.2668
 10.000, 1.3878, 0.02219, 0.01658,-0.0458,0.2671,1.0000,-4.0877, 0.0000, 0.2678
 10.250, 1.3701, 0.02688, 0.02125,-0.0469,0.2482,1.0000,-4.1142, 0.0000, 0.2684
 10.500, 1.3471, 0.03111, 0.02544,-0.0461,0.2374,1.0000,-4.1105, 0.0000, 0.2678
 10.750, 1.3273, 0.03486, 0.02913,-0.0450,0.2219,1.0000,-4.1290, 0.0000, 0.2669
 11.000, 1.3068, 0.03882, 0.03306,-0.0440,0.2079,1.0000,-4.1395, 0.0000, 0.2662
 11.250, 1.2920, 0.04197, 0.03601,-0.0428,0.1806,1.0000,-4.1831, 0.0000, 0.2651
 11.500, 1.2731, 0.04580, 0.03943,-0.0416,0.1347,1.0000,-4.1931, 0.0000, 0.2642
 11.750, 1.2517, 0.05006, 0.04323,-0.0406,0.0839,1.0000,-4.1839, 0.0000, 0.2635
 12.250, 1.2110, 0.05901, 0.05156,-0.0393,0.0089,1.0000,-4.1646, 0.0000, 0.2625
 12.500, 1.2046, 0.06245, 0.05506,-0.0390,0.0055,1.0000,-4.1931, 0.0000, 0.2620
 12.750, 1.2056, 0.06512, 0.05790,-0.0387,0.0040,1.0000,-4.2642, 0.0000, 0.2612
 13.000, 1.2059, 0.06797, 0.06095,-0.0384,0.0035,1.0000,-4.3527, 0.0000, 0.2605
 13.250, 1.2038, 0.07121, 0.06440,-0.0383,0.0032,1.0000,-4.4290, 0.0000, 0.2599
 13.500, 1.1988, 0.07495, 0.06832,-0.0385,0.0031,1.0000,-4.4878, 0.0000, 0.2597
 13.750, 1.1914, 0.07920, 0.07273,-0.0389,0.0030,1.0000,-4.5315, 0.0000, 0.2597
 14.000, 1.1848, 0.08343, 0.07707,-0.0395,0.0030,1.0000,-4.5965, 0.0000, 0.2600
 14.250, 1.1820, 0.08701, 0.08077,-0.0399,0.0029,1.0000,-4.6904, 0.0000, 0.2599
 14.500, 1.1794, 0.09050, 0.08437,-0.0402,0.0029,1.0000,-4.7806, 0.0000, 0.2598
 14.750, 1.1768, 0.09390, 0.08788,-0.0406,0.0029,1.0000,-4.8658, 0.0000, 0.2597
 15.000, 1.1749, 0.09712, 0.09121,-0.0409,0.0029,1.0000,-4.9491, 0.0000, 0.2595
 15.250, 1.1728, 0.10029, 0.09448,-0.0413,0.0029,1.0000,-5.0242, 0.0000, 0.2593
 15.500, 1.1734, 0.10285, 0.09714,-0.0412,0.0029,1.0000,-5.1074, 0.0000, 0.2588
 15.750, 1.1766, 0.10465, 0.09905,-0.0406,0.0029,1.0000,-5.1887, 0.0000, 0.2576
 16.000, 1.1822, 0.10537, 0.09992,-0.0391,0.0030,1.0000,-5.2563, 0.0000, 0.2556
 16.250, 1.1852, 0.10748, 0.10214,-0.0393,0.0031,1.0000,-5.3822, 0.0000, 0.2552
 16.500, 1.1870, 0.11004, 0.10482,-0.0399,0.0031,1.0000,-5.5019, 0.0000, 0.2551
 16.750, 1.1891, 0.11275, 0.10765,-0.0407,0.0032,1.0000,-5.6256, 0.0000, 0.2552
 17.000, 1.1912, 0.11558, 0.11059,-0.0415,0.0033,1.0000,-5.7515, 0.0000, 0.2553
 17.250, 1.1931, 0.11858, 0.11372,-0.0425,0.0034,1.0000,-5.8751, 0.0000, 0.2556
 17.500, 1.1943, 0.12183, 0.11718,-0.0437,0.0035,1.0000,-5.9897, 0.0000, 0.2560
 17.750, 1.1946, 0.12541, 0.12089,-0.0451,0.0036,1.0000,-6.0900, 0.0000, 0.2566
 18.000, 1.1915, 0.12988, 0.12552,-0.0471,0.0038,1.0000,-6.1471, 0.0000, 0.2579
 18.250, 1.1882, 0.13456, 0.13037,-0.0491,0.0040,1.0000,-6.1779, 0.0000, 0.2592
 18.500, 1.1823, 0.14000, 0.13602,-0.0513,0.0043,1.0000,-6.1338, 0.0000, 0.2608
 18.750, 1.1702, 0.14717, 0.14345,-0.0543,0.0046,1.0000,-5.9794, 0.0000, 0.2634
 19.000, 1.1554, 0.15543, 0.15195,-0.0579,0.0050,1.0000,-5.7794, 0.0000, 0.2668
 19.250, 1.1400, 0.16425, 0.16098,-0.0618,0.0053,1.0000,-5.5951, 0.0000, 0.2707
 19.500, 1.1237, 0.17382, 0.17072,-0.0662,0.0055,1.0000,-5.4166, 0.0000, 0.2752
 19.750, 1.1074, 0.18392, 0.18097,-0.0709,0.0056,1.0000,-5.2439, 0.0000, 0.2801
 20.000, 1.0912, 0.19450, 0.19168,-0.0754,0.0056,1.0000,-5.0531, 0.0000, 0.2852


